URL,Título,Capa,Resumo,Autor,ISBN,Editora,Demografia,Lançamento
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-51-117063.aspx?oid=1282489,,,"Naruto Gold - 51
Enquanto Naruto tentava entender a inesperada declaração de Sakura, Sai abre o jogo e lhe revela a grande decisão tomada por ela. Gaara informa o resultado da reunião dos cinco kages para Naruto e, enquanto isso, Sasuke articula a sua segunda vingança após capturar Danzou com a ajuda de Madara.
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-52-117064.aspx?oid=1282490,,,"Naruto Gold - 52
Sasuke, Sakura e Naruto finalmente se encontram, pois o passado complicado dos ex-colegas de time abre caminho para um futuro violento e inseguro. Naruto percebe que ele deve, eventualmente, lutar contra Sasuke cara a cara... até a morte! Mas com Sasuke e seus aliados sombrios empenhados na completa destruição e intrigas políticas nas aldeias, a poderosa Aliança Shinobi permitirão que os dois ""amigos"" se encontrem em batalha?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-53-117065.aspx?oid=1282491,,,"Naruto Gold - 53
Para conseguir o poder da Kyuubi, Naruto vai treinar em uma ilha isolada que pertence à Vila da Nuvem. Com a ajuda de Killer Bee, ele enfrenta a si mesmo e remove seu selo, mas acaba engolido pela malevolência da raposa. Lá, ele tem um encontro inesperado!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-54-117066.aspx?oid=1282492,,,"Naruto Gold - 54
Naruto evolui ainda mais como shinobi, herdando a vontade de seus pais! Com seu novo poder, conseguido com o controle da Kyuubi, ele capta Kisame, que estava escondido na ""Samehada"" e tenta fugir com as informações que conseguiu. Porém, a Besta Verde Selvagem da Folha o intercepta pela terceira vez!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-55-117067.aspx?oid=1282493,,,"Naruto Gold - 55
Começa a Quarta Grande Guerra do Mundo Ninja! A Aliança Shinobi forma tropas para enfrentar a ""Akatsuki"" e, para proteger Naruto, Gaara levanta o moral de todos com um discurso!! Enquanto isso, Kabuto, que colabora com Madara, utiliza o Edotensei para trazer de volta poderosos ninjas, um após o outro!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-56-117068.aspx,,,"Naruto Gold - 56
A guerra se expande! As tropas da Aliança Shinobi combatem os gigantes renascidos em batalhas mortais. Na linha de frente, Darui, o comandante da primeira tropa, forma um cerco para enfrentar os irmãos Kinkaku e Ginkaku, shinobis lendários da Vila da Nuvem! Quais serão as chances de vitória contra um adversário que detém o chakra da Kyuubi e perigosas ferramentas ninja...?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-57-117069.aspx?oid=1282494,,,"Naruto Gold - 57
Uma guerra oculta se aproxima! Naruto descobre que Madara começou a guerra por causa dele. Iruka não consegue persuadi-lo, e ele vai em direção ao campo de batalha para acabar com tudo com suas próprias mãos! Na linha de frente, a noite cai sobre o interminável confronto, e a luta dos shinobis que se escondem nas sombras tem início...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-58-117070.aspx?oid=1282495,,,"Naruto Gold - 58
A fim de arrastar Naruto para a guerra, Madara usa o poder do Zetsu branco para causar transtornos no campo de batalha. Para salvar seus companheiros, Naruto, que consegue captar o inimigo, corre para todos os focos de conflito! Enquanto isso, Gaara e Oonoki enfrentam os antigos Kages...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-59-117071.aspx?oid=1282496,,,"Naruto Gold - 59
Gaara tem sua Defesa Absoluta quebrada pelo antigo Mizukage. Ele ataca em conjunto com Oonoki, mas o ninjutsu do Mizukage, Jouki Boy, os encurrala... Qual é a estratégia de Gaara?! E Naruto, que enviou clones para todos os campos de batalha, finalmente se aproxima de Madara!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-60-117072.aspx?oid=1282497,,,"Naruto Gold - 60
Naruto e Bee encaram seis Bijuus. Kakashi e Gai correm para ajudá-los, mas Naruto acaba engolido pela Yonbi. Dentro dela, sua verdadeira forma, que se denomina Son Goku, aparece...?! E Sasuke enfim começa a agir...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-61-117073.aspx?oid=1282498,,,"Naruto Gold - 61
O poder absurdo de Madara Uchiha não permite que nem os cinco Kages se aproximem. Tsunade toma uma atitude que vai contra as regras dos ninjas médicos?! E Itachi e Sasuke encaram Kabuto, a fim de parar o Edotensei. A fatídica batalha que pode decidir a guerra começa agora...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-62-117074.aspx?oid=1282499,,,"Naruto Gold - 62
Itachi consegue parar Kabuto e, graças a isso, o Edotensei, que tumultuava o campo de batalha, é enfim desfeito! Mas nem essa atitude é capaz de apaziguar o ódio que Sasuke guarda pela Vila da Folha. O que seu irmão lhe dirá a respeito?! E os outros confrontos também se intensificam...!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-63-117075.aspx?oid=1282500,,,"Naruto Gold - 63
Naruto e os outros conseguem uma pista sobre como derrotar o homem da máscara! Kakashi descobre que a essência de sua técnica é semelhante ao Kamui, e não consegue acalmar sua apreensão. E o ataque de Naruto, que age confiando em seus companheiros, enfim destrói a máscara do homem!!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-64-117076.aspx?oid=1282501,,,"Naruto Gold - 64
Kakashi fica abalado ao descobrir que o homem da máscara é seu antigo companheiro, Obito. Porém, as palavras de Naruto fazem com que ele se levante novamente! ""Não vou deixar que os meus amigos sejam mortos!!!"", ele exclama e parte para o ataque! Mas eis que a Jyuubi ressurge...?!
ver mais...",,,Editora Panini,Shonen,
https://mundosinfinitos.com.br/geek/produto/Manga-Naruto-Gold-65-117077.aspx?oid=1282502,,,"Naruto Gold - 65
As batalhas ficam cada vez mais intensas e Sasuke adentra a Vila da Folha. A fim de saber toda a verdade, ele traz os antigos Hokages de volta à vida com o Edotensei de Orochimaru!! Como são a vila do primeiro Hokage, Hashirama, e a história dos shinobis...?!
ver mais...",,,Editora Panini,Shonen,
